"clno","sizw","ids","dist_name","ratio"
"1",1,65,"1103 1102","Unknown",0.882591093117409
"2",2,1,"1103","Unknown",0
"3",3,67,"1103 1102","Unknown",0.8671875
"4",4,2,"1103","Unknown",0.333333333333333
"5",5,1,"1103","Unknown",0
"6",6,1,"1103","Unknown",0
"7",7,14,"1103","Unknown",0.678571428571429
"8",8,56,"1103","Unknown",0.660714285714286
"9",9,167,"1103 1102","Unknown",0.88622754491018
"10",10,1,"1103","Unknown",0
"11",11,191,"1103 1102","Unknown",0.816753926701571
"12",12,152,"1103 1102","Unknown",0.845394736842105
"13",13,72,"1103 1102","Unknown",0.798611111111111
"14",14,69,"1103","Unknown",0.804347826086957
"15",15,3,"1103","Unknown",0.333333333333333
"16",16,95,"1102 1103","Unknown",0.8
"17",17,3,"1103","Unknown",0.333333333333333
"18",18,75,"702 703","Unknown",0.82
"19",19,54,"1103 1102","Unknown",0.731481481481482
"20",20,1,"1102","Unknown",0
"21",21,7,"1103","Unknown",0.571428571428571
"22",22,1,"1103","Unknown",0
"23",23,7157,"12 11 13 15 14 703 1102 1103","Wildfire, Unknown",0.92091658516138
"24",24,4,"12","Wildfire",0.375
"25",25,1,"13","Wildfire",0
"26",26,1,"13","Wildfire",0
"27",27,1,"1103","Unknown",0
"28",28,274,"1103 1102","Unknown",0.854014598540146
"29",29,135,"1103 1102 702 703","Unknown",0.87037037037037
"30",30,365,"1103 1102 702","Unknown",0.897260273972603
"31",31,1,"1103","Unknown",0
"32",32,3,"1103","Unknown",0.333333333333333
"33",33,1,"12","Wildfire",0
"34",34,87,"1103 1102","Unknown",0.729885057471264
"35",35,1,"11","Wildfire",0
"36",36,127,"1103 1102","Unknown",0.763779527559055
"37",37,24,"1103","Unknown",0.6875
"38",38,1,"11","Wildfire",0
"39",39,3,"11","Wildfire",0.333333333333333
"40",40,808,"1102 1103","Unknown",0.886757425742574
"41",41,1,"1102","Unknown",0
"42",42,2,"11 12","Wildfire",0.25
"43",43,1,"11","Wildfire",0
"44",44,109,"1103","Unknown",0.784403669724771
"45",45,332,"1103 1102","Unknown",0.881024096385542
"46",46,578,"1103 1102","Unknown",0.928200692041522
"47",47,2,"1102 1103","Unknown",0.25
"48",48,5,"1102 1103","Unknown",0.4
"49",49,294,"1103 1102","Unknown",0.862244897959184
"50",50,7,"1103 1102","Unknown",0.5
"51",51,56,"1102 1103","Unknown",0.607142857142857
"52",52,29036,"11 12 15 13 14 1103 1102","Wildfire, Unknown",0.959446893511503
"53",53,56,"1102 1103","Unknown",0.776785714285714
"54",54,73,"1103 1102","Unknown",0.698630136986301
"55",55,1208,"1103 1102 1101","Unknown",0.920529801324503
"56",56,1,"14","Wildfire",0
"57",57,1,"13","Wildfire",0
"58",58,337,"1102 1103","Unknown",0.908011869436202
"59",59,188,"1102 1103","Unknown",0.882978723404255
"60",60,1,"14","Wildfire",0
"61",61,332,"1103 1102","Unknown",0.875
"62",62,2,"14 13","Wildfire",0.25
"63",63,1,"12","Wildfire",0
"64",64,117,"1102 1103","Unknown",0.794871794871795
"65",65,1,"12","Wildfire",0
"66",66,99,"1102 1103","Unknown",0.883838383838384
"67",67,1,"1102","Unknown",0
"68",68,1,"1102","Unknown",0
"69",69,46,"1102 1103","Unknown",0.706521739130435
"70",70,3,"1102","Unknown",0.333333333333333
"71",71,50,"1102 1103","Unknown",0.7
"72",72,1,"1102","Unknown",0
"73",73,1,"1102","Unknown",0
"74",74,1,"1102","Unknown",0
"75",75,1,"12","Wildfire",0
"76",76,72,"1102 1103","Unknown",0.833333333333333
"77",77,5,"14","Wildfire",0.5
"78",78,9,"14","Wildfire",0.611111111111111
"79",79,1,"13","Wildfire",0
"80",80,2,"13 12","Wildfire",0.25
"81",81,120,"1103 1102","Unknown",0.825
"82",82,1,"14","Wildfire",0
"83",83,1,"12","Wildfire",0
"84",84,71,"1102 1103","Unknown",0.816901408450704
"85",85,1,"14","Wildfire",0
"86",86,1,"14","Wildfire",0
"87",87,1,"1103","Unknown",0
"88",88,499,"1103 1102 702","Unknown",0.904809619238477
"89",89,2,"1103","Unknown",0.25
"90",90,3,"1103","Unknown",0.333333333333333
"91",91,8,"1103 1102","Unknown",0.5625
"92",92,2,"1102","Unknown",0.25
"93",93,1,"1102","Unknown",0
"94",94,2953,"12 11 13 14 1103 1102","Wildfire, Unknown",0.963596342702337
"95",95,1,"1103","Unknown",0
"96",96,1,"1103","Unknown",0
"97",97,175,"1102 1103","Unknown",0.848571428571429
"98",98,3,"1103 1102","Unknown",0.333333333333333
"99",99,724,"1103 1102","Unknown",0.924033149171271
"100",100,4,"1103","Unknown",0.375
"101",101,362,"462 461","Other Mechanical",0.921270718232044
"102",102,116,"1102 1103","Unknown",0.84051724137931
"103",103,102,"1102 1103","Unknown",0.82843137254902
"104",104,2,"1102 1103","Unknown",0.25
"105",105,1,"1102","Unknown",0
